,sessionId,imageName,aestheticScore,qualityScore
0,session1,iaa_pub1_.jpg,3.75,3.8666666666666667
1,session1,iaa_pub2_.jpg,3.1041666666666665,3.341666666666667
2,session1,iaa_pub3_.jpg,2.9166666666666665,3.1041666666666665
3,session1,iaa_pub4_.jpg,3.4166666666666665,3.716666666666667
4,session1,iaa_pub5_.jpg,3.1875,3.4916666666666667
5,session1,iaa_pub6_.jpg,3.5625,3.8666666666666667
6,session1,iaa_pub7_.jpg,3.8125,3.9625
7,session1,iaa_pub8_.jpg,2.8958333333333335,3.154166666666667
8,session1,iaa_pub9_.jpg,2.625,2.904166666666667
9,session1,iaa_pub10_.jpg,2.8958333333333335,3.158333333333333
10,session1,iaa_pub11_.jpg,1.25,1.3833333333333335
11,session1,iaa_pub12_.jpg,2.2083333333333335,2.3041666666666667
12,session1,iaa_pub13_.jpg,1.5,1.6125
13,session1,iaa_pub14_.jpg,3.8125,3.954166666666667
14,session1,iaa_pub15_.jpg,3.625,3.7624999999999997
15,session1,iaa_pub16_.jpg,2.875,3.1208333333333336
16,session1,iaa_pub17_.jpg,3.4791666666666665,3.75
17,session1,iaa_pub18_.jpg,3.4375,3.5875
18,session1,iaa_pub19_.jpg,3.0208333333333335,3.2125
19,session1,iaa_pub20_.jpg,3.2916666666666665,3.5583333333333336
20,session1,iaa_pub21_.jpg,3.7708333333333335,3.9458333333333333
21,session1,iaa_pub22_.jpg,2.7291666666666665,3.025
22,session1,iaa_pub23_.jpg,1.7916666666666667,1.9666666666666668
23,session1,iaa_pub24_.jpg,3.3541666666666665,3.6166666666666667
24,session1,iaa_pub25_.jpg,3.4583333333333335,3.4916666666666667
25,session1,iaa_pub26_.jpg,3.1458333333333335,3.358333333333333
26,session1,iaa_pub27_.jpg,2.6041666666666665,2.85
27,session1,iaa_pub28_.jpg,2.8958333333333335,3.0208333333333335
28,session1,iaa_pub29_.jpg,3.5208333333333335,3.8083333333333336
29,session1,iaa_pub30_.jpg,3.6875,3.8166666666666664
30,session1,iaa_pub31_.jpg,3.3333333333333335,3.591666666666667
31,session1,iaa_pub32_.jpg,3.7708333333333335,3.9875000000000003
32,session1,iaa_pub33_.jpg,3.0833333333333335,3.3958333333333335
33,session1,iaa_pub34_.jpg,2.6458333333333335,2.9250000000000003
34,session1,iaa_pub35_.jpg,3.4583333333333335,3.716666666666667
35,session1,iaa_pub36_.jpg,3.2916666666666665,3.5375
36,session1,iaa_pub37_.jpg,3.1875,3.3708333333333336
