,dataset,sessionId,imageName,scaled_MOS_aesthetic,qualityScore,sessionId_imageName,set
22041,para,session254,iaa_pub17770_.jpg,1.4310344827586208,1.4137931034482758,session254_iaa_pub17770_.jpg,test
7927,para,session241,iaa_pub16811_.jpg,3.8333333333333335,3.995833333333333,session241_iaa_pub16811_.jpg,test
10543,para,session174,iaa_pub12164_.jpg,2.923076923076923,3.0461538461538464,session174_iaa_pub12164_.jpg,training
6945,para,session276,iaa_pub19290_.jpg,3.68,3.752,session276_iaa_pub19290_.jpg,training
9651,para,session272,iaa_pub19007_.jpg,3.44,3.556,session272_iaa_pub19007_.jpg,training
30474,para,session132,iaa_pub9216_.jpg,3.642857142857143,3.8535714285714286,session132_iaa_pub9216_.jpg,training
109,para,session76,iaa_pub5257_.jpg,3.74,3.788,session76_iaa_pub5257_.jpg,training
23219,para,session291,iaa_pub20352_.jpg,2.94,3.096,session291_iaa_pub20352_.jpg,training
21051,para,session326,iaa_pub22792_.jpg,3.673076923076923,3.792307692307692,session326_iaa_pub22792_.jpg,training
18968,para,session240,iaa_pub16756_.jpg,1.48,1.536,session240_iaa_pub16756_.jpg,training
6116,para,session25,iaa_pub1731_.jpg,4.16,4.148,session25_iaa_pub1731_.jpg,training
6475,para,session172,iaa_pub11991_.jpg,2.52,2.584,session172_iaa_pub11991_.jpg,validation
23394,para,session431,iaa_pub30170_.jpg,3.28,3.3560000000000003,session431_iaa_pub30170_.jpg,test
3479,para,session128,iaa_pub8949_.jpg,3.25,3.4615384615384617,session128_iaa_pub8949_.jpg,training
28656,para,session43,iaa_pub2996_.jpg,3.1,3.44,session43_iaa_pub2996_.jpg,training
18351,para,session171,iaa_pub11914_.jpg,2.38,2.78,session171_iaa_pub11914_.jpg,training
9271,para,session316,iaa_pub22109_.jpg,3.54,3.72,session316_iaa_pub22109_.jpg,training
31112,para,session232,iaa_pub16226_.jpg,3.34,3.616,session232_iaa_pub16226_.jpg,training
25344,para,session3,iaa_pub208_.jpg,3.32,3.4760000000000004,session3_iaa_pub208_.jpg,validation
8393,para,session433,iaa_pub30269_.jpg,3.14,3.196,session433_iaa_pub30269_.jpg,training
9408,para,session79,iaa_pub5466_.jpg,3.04,3.248,session79_iaa_pub5466_.jpg,training
6470,para,session232,iaa_pub16222_.jpg,2.54,2.752,session232_iaa_pub16222_.jpg,training
26551,para,session351,iaa_pub24539_.jpg,3.071428571428572,3.28,session351_iaa_pub24539_.jpg,training
2106,para,session294,iaa_pub20580_.jpg,3.06,3.3360000000000003,session294_iaa_pub20580_.jpg,validation
14039,para,session57,iaa_pub3944_.jpg,3.2857142857142856,3.457142857142857,session57_iaa_pub3944_.jpg,validation
7529,para,session296,iaa_pub20657_.jpg,3.52,3.628,session296_iaa_pub20657_.jpg,training
19749,para,session423,iaa_pub29607_.jpg,3.16,3.244,session423_iaa_pub29607_.jpg,training
23707,para,session70,iaa_pub4849_.jpg,3.8,3.856,session70_iaa_pub4849_.jpg,test
26411,para,session112,iaa_pub7774_.jpg,2.9615384615384617,3.269230769230769,session112_iaa_pub7774_.jpg,validation
11554,para,session411,iaa_pub28740_.jpg,3.34,3.4760000000000004,session411_iaa_pub28740_.jpg,training
4996,para,session3,iaa_pub186_.jpg,1.84,1.848,session3_iaa_pub186_.jpg,training
4838,para,session150,iaa_pub10457_.jpg,3.3461538461538463,3.55,session150_iaa_pub10457_.jpg,training
535,para,session176,iaa_pub12267_.jpg,3.28,3.548,session176_iaa_pub12267_.jpg,training
2876,para,session161,iaa_pub11239_.jpg,3.8793103448275854,4.0344827586206895,session161_iaa_pub11239_.jpg,test
211,para,session302,iaa_pub21081_.jpg,3.5,3.616,session302_iaa_pub21081_.jpg,test
6991,para,session138,iaa_pub9654_.jpg,2.58,2.62,session138_iaa_pub9654_.jpg,training
8594,para,session355,iaa_pub24809_.jpg,3.64,3.664,session355_iaa_pub24809_.jpg,training
30010,para,session11,iaa_pub765_.jpg,3.2,3.388,session11_iaa_pub765_.jpg,training
20207,para,session400,iaa_pub27941_.jpg,2.9,3.152,session400_iaa_pub27941_.jpg,training
30835,para,session97,iaa_pub6739_.jpg,2.92,3.22,session97_iaa_pub6739_.jpg,training
12540,para,session193,iaa_pub13470_.jpg,2.98,3.156,session193_iaa_pub13470_.jpg,test
27283,para,session12,iaa_pub827_.jpg,3.54,3.636,session12_iaa_pub827_.jpg,training
6570,para,session134,iaa_pub9328_.jpg,3.14,3.42,session134_iaa_pub9328_.jpg,test
8129,para,session32,iaa_pub2219_.jpg,3.38,3.636,session32_iaa_pub2219_.jpg,validation
16440,para,session363,iaa_pub25346_.jpg,3.326923076923077,3.4961538461538457,session363_iaa_pub25346_.jpg,training
1107,para,session214,iaa_pub14914_.jpg,3.34,3.552,session214_iaa_pub14914_.jpg,training
30916,para,session198,iaa_pub13810_.jpg,3.86,3.912,session198_iaa_pub13810_.jpg,training
10780,para,session338,iaa_pub23629_.jpg,3.363636363636364,3.5454545454545454,session338_iaa_pub23629_.jpg,training
10802,para,session157,iaa_pub10989_.jpg,3.4444444444444446,3.4444444444444446,session157_iaa_pub10989_.jpg,test
2966,para,session294,iaa_pub20556_.jpg,3.18,3.3760000000000003,session294_iaa_pub20556_.jpg,training
1058,para,session372,iaa_pub26010_.jpg,2.7,2.7960000000000003,session372_iaa_pub26010_.jpg,training
17310,para,session399,iaa_pub27906_.jpg,2.9838709677419355,3.261290322580645,session399_iaa_pub27906_.jpg,training
3728,para,session330,iaa_pub23083_.jpg,2.8653846153846154,3.0615384615384613,session330_iaa_pub23083_.jpg,test
7507,para,session296,iaa_pub20700_.jpg,2.94,3.1,session296_iaa_pub20700_.jpg,training
26373,para,session295,iaa_pub20649_.jpg,3.78,3.936,session295_iaa_pub20649_.jpg,training
18692,para,session260,iaa_pub18177_.jpg,3.56,3.728,session260_iaa_pub18177_.jpg,test
13944,para,session411,iaa_pub28752_.jpg,3.68,3.796,session411_iaa_pub28752_.jpg,training
20608,para,session368,iaa_pub25742_.jpg,3.0517241379310347,3.3000000000000003,session368_iaa_pub25742_.jpg,training
17125,para,session254,iaa_pub17743_.jpg,3.2241379310344827,3.3793103448275863,session254_iaa_pub17743_.jpg,training
9202,para,session374,iaa_pub26154_.jpg,3.6666666666666665,3.841666666666667,session374_iaa_pub26154_.jpg,training
8270,para,session264,iaa_pub18434_.jpg,3.3,3.5766666666666667,session264_iaa_pub18434_.jpg,validation
5803,para,session267,iaa_pub18679_.jpg,2.52,2.792,session267_iaa_pub18679_.jpg,test
27020,para,session132,iaa_pub9204_.jpg,3.5,3.696428571428572,session132_iaa_pub9204_.jpg,training
5585,para,session351,iaa_pub24565_.jpg,2.1142857142857143,2.262857142857143,session351_iaa_pub24565_.jpg,training
2216,para,session42,iaa_pub2925_.jpg,2.4696969696969697,2.578787878787878,session42_iaa_pub2925_.jpg,validation
4504,para,session276,iaa_pub19300_.jpg,3.32,3.428,session276_iaa_pub19300_.jpg,test
15150,para,session387,iaa_pub27059_.jpg,2.980769230769231,3.326923076923077,session387_iaa_pub27059_.jpg,training
22540,para,session54,iaa_pub3719_.jpg,3.02,3.108,session54_iaa_pub3719_.jpg,training
29610,para,session98,iaa_pub6795_.jpg,3.616666666666666,3.67,session98_iaa_pub6795_.jpg,training
3385,para,session398,iaa_pub27811_.jpg,1.9193548387096773,2.0129032258064514,session398_iaa_pub27811_.jpg,validation
1114,para,session114,iaa_pub7942_.jpg,2.962962962962963,3.1666666666666665,session114_iaa_pub7942_.jpg,training
10751,para,session394,iaa_pub27516_.jpg,3.4166666666666665,3.658333333333333,session394_iaa_pub27516_.jpg,training
11984,para,session72,iaa_pub5029_.jpg,2.794117647058824,3.0294117647058822,session72_iaa_pub5029_.jpg,validation
22774,para,session324,iaa_pub22615_.jpg,3.64,3.828,session324_iaa_pub22615_.jpg,training
15217,para,session371,iaa_pub25924_.jpg,3.9444444444444446,4.007407407407407,session371_iaa_pub25924_.jpg,test
11781,para,session45,iaa_pub3134_.jpg,3.651515151515152,3.796969696969697,session45_iaa_pub3134_.jpg,test
19796,para,session167,iaa_pub11621_.jpg,2.72,2.968,session167_iaa_pub11621_.jpg,training
11953,para,session399,iaa_pub27875_.jpg,1.7419354838709675,1.8806451612903223,session399_iaa_pub27875_.jpg,training
23524,para,session339,iaa_pub23669_.jpg,1.4,1.5,session339_iaa_pub23669_.jpg,training
21753,para,session147,iaa_pub10243_.jpg,3.5,3.652,session147_iaa_pub10243_.jpg,training
14310,para,session261,iaa_pub18256_.jpg,3.28,3.504,session261_iaa_pub18256_.jpg,training
23428,para,session218,iaa_pub15227_.jpg,3.04,3.112,session218_iaa_pub15227_.jpg,training
844,para,session252,iaa_pub17608_.jpg,2.92,3.136,session252_iaa_pub17608_.jpg,training
27914,para,session76,iaa_pub5271_.jpg,3.56,3.648,session76_iaa_pub5271_.jpg,training
29040,para,session143,iaa_pub10003_.jpg,3.56,3.808,session143_iaa_pub10003_.jpg,training
10549,para,session171,iaa_pub11932_.jpg,2.98,3.3,session171_iaa_pub11932_.jpg,test
15776,para,session268,iaa_pub18746_.jpg,3.62,3.976,session268_iaa_pub18746_.jpg,training
20560,para,session235,iaa_pub16432_.jpg,2.88,3.016,session235_iaa_pub16432_.jpg,training
12014,para,session290,iaa_pub20241_.jpg,1.9821428571428568,2.0678571428571426,session290_iaa_pub20241_.jpg,training
29857,para,session360,iaa_pub25167_.jpg,3.363636363636364,3.490909090909091,session360_iaa_pub25167_.jpg,test
27995,para,session28,iaa_pub1925_.jpg,3.173076923076923,3.4269230769230767,session28_iaa_pub1925_.jpg,training
3925,para,session47,iaa_pub3252_.jpg,1.55,1.6900000000000002,session47_iaa_pub3252_.jpg,training
9886,para,session342,iaa_pub23902_.jpg,3.12,3.3360000000000003,session342_iaa_pub23902_.jpg,training
23816,para,session71,iaa_pub4944_.jpg,3.435483870967742,3.5806451612903225,session71_iaa_pub4944_.jpg,training
30415,para,session93,iaa_pub6484_.jpg,3.2222222222222223,3.403703703703704,session93_iaa_pub6484_.jpg,validation
19307,para,session293,iaa_pub20496_.jpg,3.310344827586207,3.4827586206896552,session293_iaa_pub20496_.jpg,training
18987,para,session371,iaa_pub25902_.jpg,3.5,3.614814814814815,session371_iaa_pub25902_.jpg,test
9588,para,session331,iaa_pub23134_.jpg,3.88,3.928,session331_iaa_pub23134_.jpg,training
20713,para,session184,iaa_pub12862_.jpg,3.4,3.656,session184_iaa_pub12862_.jpg,test
10955,para,session65,iaa_pub4506_.jpg,3.1,3.3480000000000003,session65_iaa_pub4506_.jpg,test
11838,para,session380,iaa_pub26564_.jpg,3.2115384615384617,3.3307692307692305,session380_iaa_pub26564_.jpg,training
28377,para,session181,iaa_pub12603_.jpg,3.4423076923076925,3.6653846153846152,session181_iaa_pub12603_.jpg,training
14933,para,session381,iaa_pub26627_.jpg,2.86,3.084,session381_iaa_pub26627_.jpg,training
24047,para,session308,iaa_pub21531_.jpg,3.64,3.828,session308_iaa_pub21531_.jpg,validation
9830,para,session175,iaa_pub12190_.jpg,2.7962962962962963,2.9296296296296296,session175_iaa_pub12190_.jpg,training
24688,para,session366,iaa_pub25562_.jpg,3.12,3.224,session366_iaa_pub25562_.jpg,test
19673,para,session329,iaa_pub23014_.jpg,3.02,3.24,session329_iaa_pub23014_.jpg,training
28938,para,session341,iaa_pub23856_.jpg,2.8461538461538463,3.157692307692308,session341_iaa_pub23856_.jpg,training
9587,para,session223,iaa_pub15545_.jpg,3.64,3.78,session223_iaa_pub15545_.jpg,training
16891,para,session249,iaa_pub17418_.jpg,1.7,1.7719999999999998,session249_iaa_pub17418_.jpg,training
6255,para,session9,iaa_pub626_.jpg,3.888888888888889,3.9333333333333336,session9_iaa_pub626_.jpg,validation
