Index,dataset,ID,1,2,3,4,5,6,7,8,9,10,sem1,sem2,challegeID,sum_score,total_scorer,MOS,scaled_MOS_aesthetic,set
88061,ava,733685.jpg,2,3,10,20,49,41,7,2,1,0,17,21,931,683,135,5.059259259259259,2.9144544942030053,training
78789,ava,484051.jpg,0,1,3,8,19,52,40,18,13,5,17,0,645,1041,159,6.547169811320755,3.7908544884682143,training
169701,ava,656288.jpg,10,11,28,48,41,14,2,1,0,2,14,53,828,639,157,4.070063694267516,2.331804558503037,training
169312,ava,885800.jpg,2,6,10,16,55,44,19,4,3,2,5,17,1215,859,161,5.3354037267080745,3.077107423408462,training
82047,ava,591335.jpg,0,1,1,6,38,53,18,13,2,1,2,10,738,795,133,5.977443609022556,3.4552778372138158,test
20989,ava,756606.jpg,0,0,4,6,36,92,53,27,16,2,17,48,980,1519,236,6.436440677966102,3.725633489999888,training
160996,ava,63913.jpg,48,38,62,67,33,14,9,0,0,2,4,20,197,910,273,3.333333333333333,1.8978601367747627,test
240708,ava,404024.jpg,1,1,9,44,72,36,9,1,1,1,5,14,562,872,175,4.982857142857143,2.869452585799376,training
38280,ava,5217.jpg,3,12,36,47,69,59,28,20,9,5,19,0,31,1509,288,5.239583333333333,3.0206678799911755,training
210101,ava,544190.jpg,0,0,1,9,43,47,35,18,2,5,22,38,701,993,160,6.20625,3.5900479814692257,training
105623,ava,375876.jpg,1,0,9,23,70,69,33,15,4,2,20,23,535,1291,226,5.712389380530974,3.299157212887205,test
32028,ava,46570.jpg,1,1,7,22,48,57,47,39,24,11,12,17,158,1661,257,6.463035019455253,3.741297926747303,training
45429,ava,811721.jpg,2,6,11,29,57,53,24,5,2,2,2,20,1073,1012,191,5.298429319371728,3.055328983614056,training
16799,ava,340284.jpg,0,2,4,11,65,84,57,30,15,16,19,0,501,1823,284,6.419014084507042,3.7153689842562985,training
152786,ava,556617.jpg,0,1,8,26,65,60,37,14,4,1,17,50,712,1232,216,5.703703703703703,3.2940412285217047,training
63387,ava,799297.jpg,0,3,6,20,28,33,22,13,6,1,19,21,1049,764,132,5.787878787878788,3.343621522972946,training
197662,ava,83828.jpg,0,8,9,41,62,42,28,5,8,2,1,20,228,1097,205,5.351219512195122,3.086423140869397,training
197754,ava,514327.jpg,3,0,24,73,78,33,3,3,1,0,1,38,683,1009,218,4.628440366972477,2.6606961790903405,training
166549,ava,555308.jpg,0,1,4,30,60,72,41,13,10,3,5,18,713,1377,234,5.884615384615385,3.400600722903833,training
255161,ava,870796.jpg,10,12,34,66,55,27,7,4,1,1,7,40,1199,937,217,4.317972350230415,2.4778262023197013,validation
54667,ava,788564.jpg,2,1,7,13,57,66,34,15,1,4,2,14,1030,1165,200,5.825,3.3654864328259437,test
186739,ava,920234.jpg,1,1,4,19,47,69,30,12,3,4,14,21,1298,1113,190,5.8578947368421055,3.384861889999652,validation
13792,ava,901681.jpg,0,1,0,2,39,59,28,13,3,3,15,19,1249,916,148,6.1891891891891895,3.579998926789132,training
56102,ava,111863.jpg,1,3,10,40,84,40,19,6,1,1,17,27,265,1057,205,5.15609756097561,2.971493599780472,training
46970,ava,17549.jpg,6,6,29,43,49,38,27,11,4,2,17,0,83,1083,215,5.037209302325581,2.901466763116987,training
