sessionId,imageName,aestheticScore,qualityScore,sessionId_imageName,set
session1,iaa_pub2_.jpg,3.104166667,3.341666667,session1_iaa_pub2_.jpg,training
session1,iaa_pub5_.jpg,3.1875,3.491666667,session1_iaa_pub5_.jpg,training
session1,iaa_pub6_.jpg,3.5625,3.866666667,session1_iaa_pub6_.jpg,training
session1,iaa_pub9_.jpg,2.625,2.904166667,session1_iaa_pub9_.jpg,training
session1,iaa_pub10_.jpg,2.895833333,3.158333333,session1_iaa_pub10_.jpg,training
session1,iaa_pub11_.jpg,1.25,1.383333333,session1_iaa_pub11_.jpg,training
session1,iaa_pub12_.jpg,2.208333333,2.304166667,session1_iaa_pub12_.jpg,training
session1,iaa_pub13_.jpg,1.5,1.6125,session1_iaa_pub13_.jpg,training
session1,iaa_pub14_.jpg,3.8125,3.954166667,session1_iaa_pub14_.jpg,training
session1,iaa_pub15_.jpg,3.625,3.7625,session1_iaa_pub15_.jpg,training
session1,iaa_pub16_.jpg,2.875,3.120833333,session1_iaa_pub16_.jpg,training
session1,iaa_pub17_.jpg,3.479166667,3.75,session1_iaa_pub17_.jpg,training
session1,iaa_pub18_.jpg,3.4375,3.5875,session1_iaa_pub18_.jpg,training
session1,iaa_pub21_.jpg,3.770833333,3.945833333,session1_iaa_pub21_.jpg,training
session1,iaa_pub23_.jpg,1.791666667,1.966666667,session1_iaa_pub23_.jpg,training
session1,iaa_pub26_.jpg,3.145833333,3.358333333,session1_iaa_pub26_.jpg,training
session1,iaa_pub27_.jpg,2.604166667,2.85,session1_iaa_pub27_.jpg,training
session1,iaa_pub28_.jpg,2.895833333,3.020833333,session1_iaa_pub28_.jpg,training
session1,iaa_pub29_.jpg,3.520833333,3.808333333,session1_iaa_pub29_.jpg,training
session1,iaa_pub30_.jpg,3.6875,3.816666667,session1_iaa_pub30_.jpg,training
session1,iaa_pub31_.jpg,3.333333333,3.591666667,session1_iaa_pub31_.jpg,training
session1,iaa_pub32_.jpg,3.770833333,3.9875,session1_iaa_pub32_.jpg,training
session1,iaa_pub33_.jpg,3.083333333,3.395833333,session1_iaa_pub33_.jpg,training
session1,iaa_pub34_.jpg,2.645833333,2.925,session1_iaa_pub34_.jpg,training
session1,iaa_pub36_.jpg,3.291666667,3.5375,session1_iaa_pub36_.jpg,training
session1,iaa_pub38_.jpg,2.270833333,2.4375,session1_iaa_pub38_.jpg,training
session1,iaa_pub39_.jpg,1.4375,1.55,session1_iaa_pub39_.jpg,training
session1,iaa_pub40_.jpg,3.604166667,3.8125,session1_iaa_pub40_.jpg,training
