sessionId,imageName,aestheticScore,qualityScore,sessionId_imageName,set,pred_aesthetic,pred_quality
session32,iaa_pub2216_.jpg,3.145833333,3.2625,session32_iaa_pub2216_.jpg,test,2.7794437408447266,2.993044137954712
session323,iaa_pub22554_.jpg,2.88,3.212,session323_iaa_pub22554_.jpg,test,3.3383617401123047,3.706125497817993
session273,iaa_pub19070_.jpg,2.6,2.772,session273_iaa_pub19070_.jpg,test,2.7652957439422607,3.009086847305298
session345,iaa_pub24116_.jpg,3.354166667,3.4375,session345_iaa_pub24116_.jpg,test,3.2982707023620605,3.4771382808685303
session442,iaa_pub30925_.jpg,2.78,3.1,session442_iaa_pub30925_.jpg,test,3.0493526458740234,3.138200521469116
session410,iaa_pub28669_.jpg,4.045454545,4.227272727,session410_iaa_pub28669_.jpg,test,3.5897629261016846,3.6782145500183105
session34,iaa_pub2342_.jpg,3.1875,3.404166667,session34_iaa_pub2342_.jpg,test,3.040527105331421,3.2534539699554443
session372,iaa_pub25997_.jpg,3.3,3.468,session372_iaa_pub25997_.jpg,test,3.1315174102783203,3.229928731918335
session435,iaa_pub30436_.jpg,2.375,2.516666667,session435_iaa_pub30436_.jpg,test,2.188011884689331,2.40562105178833
session324,iaa_pub22634_.jpg,3.44,3.648,session324_iaa_pub22634_.jpg,test,3.5285120010375977,3.6399333477020264
session414,iaa_pub28931_.jpg,4.043478261,4.113043478,session414_iaa_pub28931_.jpg,test,3.5901808738708496,3.7185420989990234
session234,iaa_pub16313_.jpg,2.666666667,2.870833333,session234_iaa_pub16313_.jpg,test,2.605557918548584,2.80582857131958
session24,iaa_pub1633_.jpg,3.104166667,3.404166667,session24_iaa_pub1633_.jpg,test,3.0680315494537354,3.2654526233673096
session80,iaa_pub5546_.jpg,3.14,3.332,session80_iaa_pub5546_.jpg,test,3.222865104675293,3.574577808380127
session335,iaa_pub23390_.jpg,1.38,1.54,session335_iaa_pub23390_.jpg,test,1.3866788148880005,1.410193681716919
session52,iaa_pub3573_.jpg,3.326923077,3.480769231,session52_iaa_pub3573_.jpg,test,3.2128424644470215,3.402254343032837
session401,iaa_pub28009_.jpg,3.375,3.604166667,session401_iaa_pub28009_.jpg,test,3.3134779930114746,3.530991315841675
session173,iaa_pub12100_.jpg,3.282608696,3.469565217,session173_iaa_pub12100_.jpg,test,3.248349189758301,3.4764201641082764
session407,iaa_pub28436_.jpg,3.239130435,3.434782609,session407_iaa_pub28436_.jpg,test,3.237816333770752,3.568765878677368
session73,iaa_pub5064_.jpg,3.4375,3.570833333,session73_iaa_pub5064_.jpg,test,3.6597867012023926,3.8321011066436768
session191,iaa_pub13339_.jpg,3.673913043,3.769565217,session191_iaa_pub13339_.jpg,test,3.787975788116455,3.8975448608398438
session426,iaa_pub29810_.jpg,3.18,3.504,session426_iaa_pub29810_.jpg,test,3.3460655212402344,3.5571937561035156
session180,iaa_pub12573_.jpg,3.076923077,3.288461538,session180_iaa_pub12573_.jpg,test,2.9440574645996094,3.132434606552124
session231,iaa_pub16142_.jpg,3.407407407,3.607407407,session231_iaa_pub16142_.jpg,test,3.196812868118286,3.5215985774993896
session371,iaa_pub25965_.jpg,3.16,3.468,session371_iaa_pub25965_.jpg,test,3.192009925842285,3.359654188156128
session439,iaa_pub30676_.jpg,3.520833333,3.675,session439_iaa_pub30676_.jpg,test,3.273297071456909,3.330582618713379
session5,iaa_pub348_.jpg,3.4,3.612,session5_iaa_pub348_.jpg,test,3.2561147212982178,3.4041857719421387
session211,iaa_pub14704_.jpg,3.458333333,3.65,session211_iaa_pub14704_.jpg,test,3.2164125442504883,3.408769369125366
session267,iaa_pub18671_.jpg,3.645833333,3.8125,session267_iaa_pub18671_.jpg,test,3.414625644683838,3.584454298019409
session15,iaa_pub1011_.jpg,2.88,2.892,session15_iaa_pub1011_.jpg,test,2.7511062622070312,2.9002256393432617
session380,iaa_pub26584_.jpg,2.173913043,2.339130435,session380_iaa_pub26584_.jpg,test,2.2353129386901855,2.3841440677642822
session140,iaa_pub9755_.jpg,3.083333333,3.3125,session140_iaa_pub9755_.jpg,test,2.5726370811462402,2.868804693222046
session282,iaa_pub19740_.jpg,3.854166667,3.9875,session282_iaa_pub19740_.jpg,test,3.519275665283203,3.7688539028167725
session69,iaa_pub4807_.jpg,3.74,3.952,session69_iaa_pub4807_.jpg,test,3.787036657333374,3.8446929454803467
session171,iaa_pub11941_.jpg,3.08,3.52,session171_iaa_pub11941_.jpg,test,2.885979413986206,3.157970666885376
session300,iaa_pub20990_.jpg,3.48,3.7,session300_iaa_pub20990_.jpg,test,3.4659128189086914,3.4210638999938965
session346,iaa_pub24211_.jpg,2.76,2.792,session346_iaa_pub24211_.jpg,test,2.6814403533935547,2.728595018386841
session366,iaa_pub25567_.jpg,2.7,2.992,session366_iaa_pub25567_.jpg,test,2.9608428478240967,3.39109206199646
session227,iaa_pub15834_.jpg,3.229166667,3.45,session227_iaa_pub15834_.jpg,test,2.747596263885498,2.885896921157837
session241,iaa_pub16810_.jpg,1.782608696,1.852173913,session241_iaa_pub16810_.jpg,test,1.3060420751571655,1.5018441677093506
session191,iaa_pub13313_.jpg,2.913043478,3.069565217,session191_iaa_pub13313_.jpg,test,2.925870895385742,3.0988941192626953
session411,iaa_pub28708_.jpg,3.956521739,4.039130435,session411_iaa_pub28708_.jpg,test,3.6302859783172607,3.7607452869415283
session177,iaa_pub12390_.jpg,3.354166667,3.404166667,session177_iaa_pub12390_.jpg,test,2.5250444412231445,2.7690489292144775
session46,iaa_pub3180_.jpg,1.86,1.924,session46_iaa_pub3180_.jpg,test,1.8429926633834839,1.9615848064422607
session381,iaa_pub26617_.jpg,3.782608696,3.995652174,session381_iaa_pub26617_.jpg,test,3.7078089714050293,3.7785556316375732
session260,iaa_pub18192_.jpg,2.979166667,3.2625,session260_iaa_pub18192_.jpg,test,2.7847728729248047,3.0518882274627686
session189,iaa_pub13228_.jpg,3.395833333,3.495833333,session189_iaa_pub13228_.jpg,test,3.247856616973877,3.494211196899414
session362,iaa_pub25272_.jpg,1.48,1.62,session362_iaa_pub25272_.jpg,test,1.3725031614303589,1.4916155338287354
session241,iaa_pub16837_.jpg,3.391304348,3.556521739,session241_iaa_pub16837_.jpg,test,3.221862554550171,3.389878034591675
session125,iaa_pub8690_.jpg,3.52,3.72,session125_iaa_pub8690_.jpg,test,3.339939832687378,3.5268657207489014
session200,iaa_pub13980_.jpg,3.304347826,3.508695652,session200_iaa_pub13980_.jpg,test,3.106436252593994,3.4051647186279297
