sessionId,imageName,aestheticScore,qualityScore
session1,iaa_pub1_.jpg,3.75,3.8666666666666667
session1,iaa_pub2_.jpg,3.1041666666666665,3.341666666666667
session1,iaa_pub3_.jpg,2.9166666666666665,3.1041666666666665
session1,iaa_pub4_.jpg,3.4166666666666665,3.716666666666667
session1,iaa_pub5_.jpg,3.1875,3.4916666666666667
session1,iaa_pub6_.jpg,3.5625,3.8666666666666667
session1,iaa_pub7_.jpg,3.8125,3.9625
session1,iaa_pub8_.jpg,2.8958333333333335,3.154166666666667
session1,iaa_pub9_.jpg,2.625,2.904166666666667
session1,iaa_pub10_.jpg,2.8958333333333335,3.158333333333333
session1,iaa_pub11_.jpg,1.25,1.3833333333333335
session1,iaa_pub12_.jpg,2.2083333333333335,2.3041666666666667
session1,iaa_pub13_.jpg,1.5,1.6125
session1,iaa_pub14_.jpg,3.8125,3.954166666666667
session1,iaa_pub15_.jpg,3.625,3.7624999999999997
session1,iaa_pub16_.jpg,2.875,3.1208333333333336
session1,iaa_pub17_.jpg,3.4791666666666665,3.75
session1,iaa_pub18_.jpg,3.4375,3.5875
session1,iaa_pub19_.jpg,3.0208333333333335,3.2125
session1,iaa_pub20_.jpg,3.2916666666666665,3.5583333333333336
session1,iaa_pub21_.jpg,3.7708333333333335,3.9458333333333333
session1,iaa_pub22_.jpg,2.7291666666666665,3.025
session1,iaa_pub23_.jpg,1.7916666666666667,1.9666666666666668
session1,iaa_pub24_.jpg,3.3541666666666665,3.6166666666666667
session1,iaa_pub25_.jpg,3.4583333333333335,3.4916666666666667
session1,iaa_pub26_.jpg,3.1458333333333335,3.358333333333333
session1,iaa_pub27_.jpg,2.6041666666666665,2.85
session1,iaa_pub28_.jpg,2.8958333333333335,3.0208333333333335
session1,iaa_pub29_.jpg,3.5208333333333335,3.8083333333333336
session1,iaa_pub30_.jpg,3.6875,3.8166666666666664
session1,iaa_pub31_.jpg,3.3333333333333335,3.591666666666667
session1,iaa_pub32_.jpg,3.7708333333333335,3.9875000000000003
session1,iaa_pub33_.jpg,3.0833333333333335,3.3958333333333335
session1,iaa_pub34_.jpg,2.6458333333333335,2.9250000000000003
session1,iaa_pub35_.jpg,3.4583333333333335,3.716666666666667
session1,iaa_pub36_.jpg,3.2916666666666665,3.5375
session1,iaa_pub37_.jpg,3.1875,3.3708333333333336
session1,iaa_pub38_.jpg,2.2708333333333335,2.4375
session1,iaa_pub39_.jpg,1.4375,1.55
session1,iaa_pub40_.jpg,3.6041666666666665,3.8125
session1,iaa_pub41_.jpg,3.4166666666666665,3.670833333333333
session1,iaa_pub42_.jpg,3.8541666666666665,3.9625
session1,iaa_pub43_.jpg,2.875,3.1333333333333333
session1,iaa_pub44_.jpg,3.5208333333333335,3.6875
session1,iaa_pub45_.jpg,3.5625,3.6875
session1,iaa_pub46_.jpg,3.1458333333333335,3.4250000000000003
session1,iaa_pub47_.jpg,4.145833333333333,4.304166666666666
session1,iaa_pub48_.jpg,1.625,1.7916666666666667
session1,iaa_pub49_.jpg,2.0,2.216666666666667
session1,iaa_pub50_.jpg,3.9583333333333335,4.1625
session1,iaa_pub51_.jpg,1.3125,1.4291666666666665
session1,iaa_pub52_.jpg,2.6875,2.8833333333333333
session1,iaa_pub53_.jpg,3.125,3.375
session1,iaa_pub54_.jpg,2.4375,2.6875
session1,iaa_pub55_.jpg,3.0,3.3041666666666667
session1,iaa_pub56_.jpg,3.5,3.6958333333333333
session1,iaa_pub57_.jpg,3.75,3.9250000000000003
session1,iaa_pub58_.jpg,3.1458333333333335,3.375
session1,iaa_pub59_.jpg,3.9166666666666665,4.0375000000000005
session1,iaa_pub60_.jpg,3.0416666666666665,3.3083333333333336
session1,iaa_pub61_.jpg,2.625,2.9166666666666665
session1,iaa_pub62_.jpg,3.1458333333333335,3.3375
session1,iaa_pub63_.jpg,3.2291666666666665,3.4791666666666665
session1,iaa_pub64_.jpg,3.5208333333333335,3.7583333333333333
session1,iaa_pub65_.jpg,3.3541666666666665,3.5708333333333333
session1,iaa_pub66_.jpg,3.9375,4.05
session1,iaa_pub67_.jpg,3.2083333333333335,3.5
session1,iaa_pub68_.jpg,2.8541666666666665,3.1374999999999997
session1,iaa_pub69_.jpg,3.125,3.4625
session1,iaa_pub70_.jpg,3.2083333333333335,3.4375
session10,iaa_pub631_.jpg,2.22,2.504
session10,iaa_pub632_.jpg,1.62,1.732
session10,iaa_pub633_.jpg,2.8,3.1919999999999997
session10,iaa_pub634_.jpg,2.94,3.24
session10,iaa_pub635_.jpg,2.86,3.156
session10,iaa_pub636_.jpg,2.9,3.2560000000000002
session10,iaa_pub637_.jpg,3.36,3.752
session10,iaa_pub638_.jpg,3.28,3.6239999999999997
session10,iaa_pub639_.jpg,2.84,3.1319999999999997
session10,iaa_pub640_.jpg,2.22,2.3520000000000003
session10,iaa_pub641_.jpg,3.14,3.528
session10,iaa_pub642_.jpg,3.86,3.968
session10,iaa_pub643_.jpg,3.0,3.42
session10,iaa_pub644_.jpg,3.44,3.696
session10,iaa_pub645_.jpg,3.08,3.26
session10,iaa_pub646_.jpg,1.58,1.796
session10,iaa_pub647_.jpg,3.12,3.492
session10,iaa_pub648_.jpg,2.88,3.1639999999999997
session10,iaa_pub649_.jpg,3.86,3.972
session10,iaa_pub650_.jpg,2.36,2.616
session10,iaa_pub651_.jpg,3.26,3.5039999999999996
session10,iaa_pub652_.jpg,2.06,2.2840000000000003
session10,iaa_pub653_.jpg,2.94,3.2960000000000003
session10,iaa_pub654_.jpg,3.06,3.48
session10,iaa_pub655_.jpg,3.22,3.384
session10,iaa_pub656_.jpg,2.86,3.1519999999999997
session10,iaa_pub657_.jpg,2.86,3.24
session10,iaa_pub658_.jpg,3.08,3.332
session10,iaa_pub659_.jpg,3.34,3.508
session10,iaa_pub660_.jpg,3.3,3.628
session10,iaa_pub661_.jpg,3.04,3.1439999999999997
session10,iaa_pub662_.jpg,3.18,3.556
session10,iaa_pub663_.jpg,3.52,3.8
session10,iaa_pub664_.jpg,3.24,3.3760000000000003
